name;short_name;location_supplier;location_dgcfs;location_xmcfs;location_yantian;location_xiamen;distance_dgcfs;duration_dgcfs;distance_yantian;duration_yantian;distance_xmcfs;duration_xmcfs;distance_xiamen;duration_xiamen
MULTITECH HOLDING L.L.C;CHANGXING/JYU;114.075528,22.813052;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
YUANYI MACHINERY (SHENZHEN)CO;YUANYI;114.066223,22.771311;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
FUZHOU TIANXIANG SHOES & GARME;TIANXIANG;119.263748,26.064008;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Dong Guan Upmost Industrial CO;Upmost;113.836054,23.120007;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Melton International L.L.C;Melton;113.878624,22.997207;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
SJ YEE FUNG BAO CO., LTD;YEE FUNG BAO;113.858916,22.745379;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
WEI FA SPORTS EQUIPMENT CO,LTD;WEI FA;113.640483,22.887034;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
HUIZHOU FORMOSA MANU CO.,LTD;FORMOSA;113.870642,23.139982;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Sino Golf Manufacturing Co. Lt;SINO;113.560704,23.199345;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Egoman Technology Corp;Egoman;114.17015,22.829139;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
APRIL SHOWER CORP.;APRIL;114.053233,22.791048;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
XIAMEN PULSA SPORTING GOODS;PULSA;118.051575,24.58146;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
DONGGUAN RISHENG GARMENT CO.LT;EVERGREEN;113.974978,23.103663;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Sacred Mountain White Magnolia;MAGNOLIA;106.018299,30.778379;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
Fuzhou Dong Lian Enterprise Co;Dong Lian;119.376482,25.897846;114.0484,23.032973;118.034528,24.45114;114.265583,22.588069;118.082275,24.490939;;;;;;;;
